Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AllSuite,,,,2020-09-11 01:00:34,2020-09-11 01:33:17,"32m - 42,889s",FAILED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv VKN,,,,2020-09-11 01:00:35,2020-09-11 01:00:42,"7,320s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:00:35,2020-09-11 01:00:37,"2,299s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv Adresi VKN.feature"")",,,,2020-09-11 01:00:37,2020-09-11 01:00:42,"4,710s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:00:42,2020-09-11 01:00:42,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura VKN,,,,2020-09-11 01:00:42,2020-09-11 01:00:47,"4,882s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:00:42,2020-09-11 01:00:43,"1,081s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura Adresi VKN.feature"")",,,,2020-09-11 01:00:43,2020-09-11 01:00:47,"3,605s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:00:47,2020-09-11 01:00:47,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye VKN,,,,2020-09-11 01:00:47,2020-09-11 01:00:52,"5,013s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:00:47,2020-09-11 01:00:48,"1,024s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye Adresi VKN.feature"")",,,,2020-09-11 01:00:48,2020-09-11 01:00:52,"3,783s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:00:52,2020-09-11 01:00:52,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN,,,,2020-09-11 01:00:52,2020-09-11 01:00:57,"4,956s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:00:52,2020-09-11 01:00:53,"1,011s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN.feature"")",,,,2020-09-11 01:00:53,2020-09-11 01:00:57,"3,752s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:00:57,2020-09-11 01:00:57,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu VKN,,,,2020-09-11 01:00:57,2020-09-11 01:01:02,"5,554s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:00:57,2020-09-11 01:00:58,"1,001s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu Adresi VKN.feature"")",,,,2020-09-11 01:00:58,2020-09-11 01:01:02,"4,327s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:02,2020-09-11 01:01:02,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu,,,,2020-09-11 01:01:02,2020-09-11 01:01:08,"5,576s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:02,2020-09-11 01:01:03,"1,051s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-11 01:01:04,2020-09-11 01:01:08,"4,282s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:08,2020-09-11 01:01:08,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Filtre Kontrolu,,,,2020-09-11 01:01:08,2020-09-11 01:01:13,"5,439s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:08,2020-09-11 01:01:09,"1,051s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-11 01:01:09,2020-09-11 01:01:13,"4,190s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:13,2020-09-11 01:01:13,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle,,,,2020-09-11 01:01:13,2020-09-11 01:01:18,"4,932s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:13,2020-09-11 01:01:14,"1,053s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle.feature"")",,,,2020-09-11 01:01:15,2020-09-11 01:01:18,"3,696s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:18,2020-09-11 01:01:18,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Ekle,,,,2020-09-11 01:01:18,2020-09-11 01:01:23,"5,001s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:18,2020-09-11 01:01:19,"1,005s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Ekle.feature"")",,,,2020-09-11 01:01:19,2020-09-11 01:01:23,"3,815s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:23,2020-09-11 01:01:23,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Buton Kontrolu,,,,2020-09-11 01:01:23,2020-09-11 01:01:28,"5,159s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:23,2020-09-11 01:01:24,"1,051s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-11 01:01:24,2020-09-11 01:01:28,"3,931s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:28,2020-09-11 01:01:28,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Filtre Kontrolu,,,,2020-09-11 01:01:28,2020-09-11 01:01:33,"4,994s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:28,2020-09-11 01:01:29,"0,980s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-11 01:01:30,2020-09-11 01:01:33,"3,834s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:33,2020-09-11 01:01:33,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Rol Ekle,,,,2020-09-11 01:01:33,2020-09-11 01:01:38,"5,029s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:33,2020-09-11 01:01:34,"1,043s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Rol Ekle.feature"")",,,,2020-09-11 01:01:35,2020-09-11 01:01:38,"3,826s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:38,2020-09-11 01:01:38,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Yetki Tanimla,,,,2020-09-11 01:01:38,2020-09-11 01:01:44,"5,118s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:38,2020-09-11 01:01:39,"1,046s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Yetki Tanimla.feature"")",,,,2020-09-11 01:01:40,2020-09-11 01:01:44,"3,926s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:44,2020-09-11 01:01:44,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Buton Kontrolu,,,,2020-09-11 01:01:44,2020-09-11 01:01:49,"5,238s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:44,2020-09-11 01:01:45,"1,002s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-11 01:01:45,2020-09-11 01:01:49,"4,044s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:49,2020-09-11 01:01:49,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Filtre Kontrolu,,,,2020-09-11 01:01:49,2020-09-11 01:01:54,"5,136s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:49,2020-09-11 01:01:50,"0,997s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-11 01:01:50,2020-09-11 01:01:54,"3,968s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:54,2020-09-11 01:01:54,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Kullanici Ekle,,,,2020-09-11 01:01:54,2020-09-11 01:01:59,"5,133s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:54,2020-09-11 01:01:55,"0,991s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Kullanici Ekle.feature"")",,,,2020-09-11 01:01:55,2020-09-11 01:01:59,"3,990s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:59,2020-09-11 01:01:59,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Rol ve Departman Tanimla,,,,2020-09-11 01:01:59,2020-09-11 01:02:04,"5,189s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:59,2020-09-11 01:02:00,"1,045s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Rol ve Departman Tanimla.feature"")",,,,2020-09-11 01:02:00,2020-09-11 01:02:04,"3,988s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:04,2020-09-11 01:02:04,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Buton Kontrolu,,,,2020-09-11 01:02:04,2020-09-11 01:02:10,"5,447s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:04,2020-09-11 01:02:05,"1,045s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Buton Kontrolu.feature"")",,,,2020-09-11 01:02:05,2020-09-11 01:02:10,"4,232s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:10,2020-09-11 01:02:10,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Filtre Kontrolu,,,,2020-09-11 01:02:10,2020-09-11 01:02:15,"5,625s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:10,2020-09-11 01:02:11,"1,007s",ERROR
