Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
E-Irsaliye Modulu,Chrome 85.0.4183.102,Portalde E-\u0130rsaliye men\u00FCs\u00FC alt\u0131nda yer alan ekran ve i\u015Flemlerin kontrolleri yap\u0131l\u0131r.,,2020-09-12 16:06:18,2020-09-12 16:19:59,"13m - 41,384s",FAILED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Buton Kontrolu,Chrome 85.0.4183.102,,,2020-09-12 16:06:18,2020-09-12 16:06:43,"25,218s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:06:18,2020-09-12 16:06:41,"23,102s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Buton Kontrolu.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:06:41,2020-09-12 16:06:43,"1,832s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:06:43,2020-09-12 16:06:43,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Departman Ata,Chrome 85.0.4183.102,,,2020-09-12 16:06:43,2020-09-12 16:07:13,"30,062s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:06:43,2020-09-12 16:06:48,"5,069s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Departman Ata.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:06:48,2020-09-12 16:07:13,"24,789s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:07:13,2020-09-12 16:07:13,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Departman Geri Al,Chrome 85.0.4183.102,,,2020-09-12 16:07:13,2020-09-12 16:07:38,"24,439s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:07:13,2020-09-12 16:07:18,"4,994s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Departman Geri Al.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:07:18,2020-09-12 16:07:38,"19,247s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:07:38,2020-09-12 16:07:38,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Excele Aktar,Chrome 85.0.4183.102,,,2020-09-12 16:07:38,2020-09-12 16:08:02,"24,313s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:07:38,2020-09-12 16:07:43,"5,085s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Excele Aktar.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:07:43,2020-09-12 16:08:02,"19,062s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:08:02,2020-09-12 16:08:02,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Filtre Kontrolu,Chrome 85.0.4183.102,,,2020-09-12 16:08:02,2020-09-12 16:08:29,"26,790s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:08:02,2020-09-12 16:08:07,"5,048s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Filtre Kontrolu.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:08:07,2020-09-12 16:08:29,"21,553s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:08:29,2020-09-12 16:08:29,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Gorseli Ac,Chrome 85.0.4183.102,,,2020-09-12 16:08:29,2020-09-12 16:08:53,"23,991s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:08:29,2020-09-12 16:08:34,"5,028s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Gorseli Ac.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:08:34,2020-09-12 16:08:53,"18,794s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:08:53,2020-09-12 16:08:53,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Izleme Kayitlari,Chrome 85.0.4183.102,,,2020-09-12 16:08:53,2020-09-12 16:09:37,"44,463s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:08:53,2020-09-12 16:08:58,"5,025s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/IzlemeKayitlari.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:08:58,2020-09-12 16:09:37,"39,253s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:09:37,2020-09-12 16:09:37,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Toplu Indirme-UBL Secilenler,Chrome 85.0.4183.102,,,2020-09-12 16:09:37,2020-09-12 16:10:00,"22,418s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:09:37,2020-09-12 16:09:42,"4,327s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Toplu Indirme-UBL Secilenler.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:09:42,2020-09-12 16:10:00,"17,950s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:10:00,2020-09-12 16:10:00,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Toplu Indirme-UBL Tumu,Chrome 85.0.4183.102,,,2020-09-12 16:10:00,2020-09-12 16:10:23,"23,845s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:10:00,2020-09-12 16:10:05,"5,008s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Toplu Indirme-UBL Tumu.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:10:05,2020-09-12 16:10:23,"18,620s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:10:23,2020-09-12 16:10:23,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Tumunu Excele Aktar,Chrome 85.0.4183.102,,,2020-09-12 16:10:23,2020-09-12 16:10:47,"23,978s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:10:23,2020-09-12 16:10:29,"5,032s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Tumunu Excele Aktar.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:10:29,2020-09-12 16:10:47,"18,780s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:10:47,2020-09-12 16:10:47,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/UBL-Goster,Chrome 85.0.4183.102,,,2020-09-12 16:10:47,2020-09-12 16:11:17,"29,607s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:10:47,2020-09-12 16:10:52,"4,997s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/UBL-Goster.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:10:53,2020-09-12 16:11:17,"24,426s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:11:17,2020-09-12 16:11:17,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/UBL-Indir,Chrome 85.0.4183.102,,,2020-09-12 16:11:17,2020-09-12 16:11:45,"27,992s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:11:17,2020-09-12 16:11:22,"4,980s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/UBL-Indir.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:11:22,2020-09-12 16:11:45,"22,811s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:11:45,2020-09-12 16:11:45,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Buton Kontrolu,Chrome 85.0.4183.102,,,2020-09-12 16:11:45,2020-09-12 16:12:13,"27,451s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:11:45,2020-09-12 16:11:50,"5,009s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Buton Kontrolu.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:11:50,2020-09-12 16:12:13,"22,272s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:12:13,2020-09-12 16:12:13,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Departman Ata,Chrome 85.0.4183.102,,,2020-09-12 16:12:13,2020-09-12 16:12:36,"23,061s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:12:13,2020-09-12 16:12:18,"5,015s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Departman Ata.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:12:18,2020-09-12 16:12:36,"17,890s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:12:36,2020-09-12 16:12:36,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Departman Geri Al,Chrome 85.0.4183.102,,,2020-09-12 16:12:36,2020-09-12 16:13:12,"36,601s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:12:36,2020-09-12 16:12:41,"5,000s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Departman Geri Al.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:12:41,2020-09-12 16:13:12,"31,442s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:13:12,2020-09-12 16:13:12,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Excele Aktar,Chrome 85.0.4183.102,,,2020-09-12 16:13:12,2020-09-12 16:13:39,"26,877s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:13:12,2020-09-12 16:13:16,"4,300s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Excele Aktar.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:13:17,2020-09-12 16:13:39,"22,408s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:13:39,2020-09-12 16:13:39,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Filtre Kontrolu,Chrome 85.0.4183.102,,,2020-09-12 16:13:39,2020-09-12 16:14:05,"25,947s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:13:39,2020-09-12 16:13:44,"5,000s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Filtre Kontrolu.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:13:44,2020-09-12 16:14:05,"20,743s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:14:05,2020-09-12 16:14:05,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Gorseli Ac,Chrome 85.0.4183.102,,,2020-09-12 16:14:05,2020-09-12 16:14:31,"26,381s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:14:05,2020-09-12 16:14:09,"4,323s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Gorseli Ac.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:14:09,2020-09-12 16:14:31,"21,893s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:14:31,2020-09-12 16:14:31,"0,009s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/IzlemeKayitlari,Chrome 85.0.4183.102,,,2020-09-12 16:14:31,2020-09-12 16:14:58,"26,681s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:14:31,2020-09-12 16:14:36,"4,992s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/IzlemeKayitlari.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:14:37,2020-09-12 16:14:58,"21,546s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:14:58,2020-09-12 16:14:58,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/PDF Goster,Chrome 85.0.4183.102,,,2020-09-12 16:14:58,2020-09-12 16:15:37,"38,453s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:14:58,2020-09-12 16:15:03,"5,008s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/PDF Goster.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:15:03,2020-09-12 16:15:37,"33,280s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:15:37,2020-09-12 16:15:37,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/PDF Indir,Chrome 85.0.4183.102,,,2020-09-12 16:15:37,2020-09-12 16:16:15,"38,244s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:15:37,2020-09-12 16:15:42,"5,018s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/PDF Indir.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:15:42,2020-09-12 16:16:15,"33,052s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:16:15,2020-09-12 16:16:15,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Statu Ata,Chrome 85.0.4183.102,,,2020-09-12 16:16:15,2020-09-12 16:16:41,"26,288s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:16:15,2020-09-12 16:16:20,"4,985s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Statu Ata.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:16:20,2020-09-12 16:16:41,"21,134s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:16:41,2020-09-12 16:16:41,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Toplu Indirme-PDF Secilenler,Chrome 85.0.4183.102,,,2020-09-12 16:16:41,2020-09-12 16:17:09,"27,773s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:16:41,2020-09-12 16:16:46,"5,045s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Toplu Indirme-PDF Secilenler.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:16:46,2020-09-12 16:17:09,"22,568s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:17:09,2020-09-12 16:17:09,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Toplu Indirme-PDF Tumu,Chrome 85.0.4183.102,,,2020-09-12 16:17:09,2020-09-12 16:17:37,"28,355s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:17:09,2020-09-12 16:17:14,"5,035s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Toplu Indirme-PDF Tumu.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:17:14,2020-09-12 16:17:37,"23,100s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:17:37,2020-09-12 16:17:37,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Toplu Indirme-UBL Secilenler,Chrome 85.0.4183.102,,,2020-09-12 16:17:37,2020-09-12 16:18:06,"28,602s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:17:37,2020-09-12 16:17:42,"5,085s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Toplu Indirme-UBL Secilenler.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:17:42,2020-09-12 16:18:06,"23,341s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:18:06,2020-09-12 16:18:06,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Toplu Indirme-UBL Tumu,Chrome 85.0.4183.102,,,2020-09-12 16:18:06,2020-09-12 16:18:34,"28,308s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:18:06,2020-09-12 16:18:11,"5,045s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Toplu Indirme-UBL Tumu.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:18:11,2020-09-12 16:18:34,"23,082s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:18:34,2020-09-12 16:18:34,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Tumunu Excele Aktar,Chrome 85.0.4183.102,,,2020-09-12 16:18:34,2020-09-12 16:19:03,"28,462s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:18:34,2020-09-12 16:18:39,"5,031s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Tumunu Excele Aktar.feature"")",Chrome 85.0.4183.102,,,2020-09-12 16:18:39,2020-09-12 16:19:03,"23,263s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 85.0.4183.102,,,2020-09-12 16:19:03,2020-09-12 16:19:03,"0,001s",PASSED
,,,,,,,
